Politician,Polling Organization,StartDate,EndDate,N,Sample,Fav,Unfav,NetFav
Kamala Harris,Harvard-HarrisHarris,2/23/2021,2/25/2021,1778,RV,49,41,8
Kamala Harris,Economist/YouGovYouGov,2/19/2021,2/22/2021,1201,RV,51,44,7
Kamala Harris,Politico/Morning ConsultPolitico,2/19/2021,2/22/2021,2013,RV,52,39,13
Kamala Harris,Economist/YouGovYouGov,2/13/2021,2/16/2021,1259,RV,51,45,6
Kamala Harris,Politico/Morning ConsultPolitico,2/14/2021,2/15/2021,1984,RV,57,36,21
Kamala Harris,Economist/YouGovYouGov,2/6/2021,2/9/2021,1306,RV,49,46,3
Kamala Harris,Economist/YouGovYouGov,1/31/2021,2/2/2021,1272,RV,47,45,2
Kamala Harris,Politico/Morning ConsultPolitico,1/29/2021,2/1/2021,1986,RV,53,39,14
Kamala Harris,QuinnipiacQuinnipiac,1/28/2021,2/1/2021,1075,A,45,35,10
Kamala Harris,Economist/YouGovYouGov,1/24/2021,1/26/2021,1245,RV,50,44,6
Kamala Harris,Politico/Morning ConsultPolitico,1/22/2021,1/25/2021,1990,RV,54,38,16
